model,condenser_temp,evaporator_temp,power,technology,refrigerant,capacity_control
HLH061T4,30,-25,5.278,Scroll,R410A,Fixed Speed
HLH061T4,30,-20,6.65,Scroll,R410A,Fixed Speed
HLH061T4,30,-15,8.195,Scroll,R410A,Fixed Speed
HLH061T4,30,-10,10,Scroll,R410A,Fixed Speed
HLH061T4,30,-5,12.17,Scroll,R410A,Fixed Speed
HLH061T4,35,-25,4.74,Scroll,R410A,Fixed Speed
HLH061T4,35,-20,6.187,Scroll,R410A,Fixed Speed
HLH061T4,35,-15,7.732,Scroll,R410A,Fixed Speed
HLH061T4,35,-10,9.462,Scroll,R410A,Fixed Speed
HLH061T4,35,-5,11.47,Scroll,R410A,Fixed Speed
HLH061T4,40,-20,5.565,Scroll,R410A,Fixed Speed
HLH061T4,40,-15,7.166,Scroll,R410A,Fixed Speed
HLH061T4,40,-10,8.876,Scroll,R410A,Fixed Speed
HLH061T4,40,-5,10.79,Scroll,R410A,Fixed Speed
HLH061T4,45,-15,6.438,Scroll,R410A,Fixed Speed
HLH061T4,45,-10,8.182,Scroll,R410A,Fixed Speed
HLH061T4,45,-5,10.05,Scroll,R410A,Fixed Speed
HLH061T4,50,-15,5.49,Scroll,R410A,Fixed Speed
HLH061T4,50,-10,7.322,Scroll,R410A,Fixed Speed
HLH061T4,50,-5,9.193,Scroll,R410A,Fixed Speed
HLH061T4,55,-10,6.238,Scroll,R410A,Fixed Speed
HLH061T4,55,-5,8.167,Scroll,R410A,Fixed Speed
HLH061T4,60,-10,4.879,Scroll,R410A,Fixed Speed
HLH061T4,60,-5,6.91,Scroll,R410A,Fixed Speed
HLH061T4,65,-5,5.37,Scroll,R410A,Fixed Speed
MT064-4,30,-25,2.297,Reciprocating,R22,Fixed Speed
MT064-4,30,-20,2.598,Reciprocating,R22,Fixed Speed
MT064-4,30,-15,2.861,Reciprocating,R22,Fixed Speed
MT064-4,30,-10,3.087,Reciprocating,R22,Fixed Speed
MT064-4,30,-5,3.277,Reciprocating,R22,Fixed Speed
MT064-4,30,0,3.432,Reciprocating,R22,Fixed Speed
MT064-4,30,5,3.553,Reciprocating,R22,Fixed Speed
MT064-4,30,10,3.642,Reciprocating,R22,Fixed Speed
MT064-4,30,15,3.699,Reciprocating,R22,Fixed Speed
MT064-4,35,-25,2.356,Reciprocating,R22,Fixed Speed
MT064-4,35,-20,2.704,Reciprocating,R22,Fixed Speed
MT064-4,35,-15,3.012,Reciprocating,R22,Fixed Speed
MT064-4,35,-10,3.282,Reciprocating,R22,Fixed Speed
MT064-4,35,-5,3.516,Reciprocating,R22,Fixed Speed
MT064-4,35,0,3.713,Reciprocating,R22,Fixed Speed
MT064-4,35,5,3.875,Reciprocating,R22,Fixed Speed
MT064-4,35,10,4.004,Reciprocating,R22,Fixed Speed
MT064-4,35,15,4.1,Reciprocating,R22,Fixed Speed
MT064-4,40,-25,2.391,Reciprocating,R22,Fixed Speed
MT064-4,40,-20,2.791,Reciprocating,R22,Fixed Speed
MT064-4,40,-15,3.15,Reciprocating,R22,Fixed Speed
MT064-4,40,-10,3.469,Reciprocating,R22,Fixed Speed
MT064-4,40,-5,3.751,Reciprocating,R22,Fixed Speed
MT064-4,40,0,3.995,Reciprocating,R22,Fixed Speed
MT064-4,40,5,4.204,Reciprocating,R22,Fixed Speed
MT064-4,40,10,4.377,Reciprocating,R22,Fixed Speed
MT064-4,40,15,4.517,Reciprocating,R22,Fixed Speed
MT064-4,45,-25,2.397,Reciprocating,R22,Fixed Speed
MT064-4,45,-20,2.852,Reciprocating,R22,Fixed Speed
MT064-4,45,-15,3.267,Reciprocating,R22,Fixed Speed
MT064-4,45,-10,3.641,Reciprocating,R22,Fixed Speed
MT064-4,45,-5,3.976,Reciprocating,R22,Fixed Speed
MT064-4,45,0,4.272,Reciprocating,R22,Fixed Speed
MT064-4,45,5,4.532,Reciprocating,R22,Fixed Speed
MT064-4,45,10,4.755,Reciprocating,R22,Fixed Speed
MT064-4,45,15,4.944,Reciprocating,R22,Fixed Speed
MT064-4,50,-20,2.882,Reciprocating,R22,Fixed Speed
MT064-4,50,-15,3.357,Reciprocating,R22,Fixed Speed
MT064-4,50,-10,3.79,Reciprocating,R22,Fixed Speed
MT064-4,50,-5,4.183,Reciprocating,R22,Fixed Speed
MT064-4,50,0,4.537,Reciprocating,R22,Fixed Speed
MT064-4,50,5,4.852,Reciprocating,R22,Fixed Speed
MT064-4,50,10,5.131,Reciprocating,R22,Fixed Speed
MT064-4,50,15,5.374,Reciprocating,R22,Fixed Speed
MT064-4,55,-15,3.412,Reciprocating,R22,Fixed Speed
MT064-4,55,-10,3.91,Reciprocating,R22,Fixed Speed
MT064-4,55,-5,4.366,Reciprocating,R22,Fixed Speed
MT064-4,55,0,4.732,Reciprocating,R22,Fixed Speed
MT064-4,55,5,5.158,Reciprocating,R22,Fixed Speed
MT064-4,55,10,5.497,Reciprocating,R22,Fixed Speed
MT064-4,55,15,5.799,Reciprocating,R22,Fixed Speed
MT064-4,60,-10,3.993,Reciprocating,R22,Fixed Speed
MT064-4,60,-5,4.517,Reciprocating,R22,Fixed Speed
MT064-4,60,0,5,Reciprocating,R22,Fixed Speed
MT064-4,60,5,5.443,Reciprocating,R22,Fixed Speed
MT064-4,60,10,5.846,Reciprocating,R22,Fixed Speed
MT064-4,60,15,6.212,Reciprocating,R22,Fixed Speed
MT064-4,65,-5,4.63,Reciprocating,R22,Fixed Speed
MT064-4,65,0,5.185,Reciprocating,R22,Fixed Speed
MT064-4,65,5,5.699,Reciprocating,R22,Fixed Speed
MT064-4,65,10,6.172,Reciprocating,R22,Fixed Speed
MT064-4,65,15,6.606,Reciprocating,R22,Fixed Speed
MT064-6,30,-25,2.297,Reciprocating,R22,Fixed Speed
MT064-6,30,-20,2.598,Reciprocating,R22,Fixed Speed
MT064-6,30,-15,2.861,Reciprocating,R22,Fixed Speed
MT064-6,30,-10,3.087,Reciprocating,R22,Fixed Speed
MT064-6,30,-5,3.277,Reciprocating,R22,Fixed Speed
MT064-6,30,0,3.432,Reciprocating,R22,Fixed Speed
MT064-6,30,5,3.553,Reciprocating,R22,Fixed Speed
MT064-6,30,10,3.642,Reciprocating,R22,Fixed Speed
MT064-6,30,15,3.699,Reciprocating,R22,Fixed Speed
MT064-6,35,-25,2.356,Reciprocating,R22,Fixed Speed
MT064-6,35,-20,2.704,Reciprocating,R22,Fixed Speed
MT064-6,35,-15,3.012,Reciprocating,R22,Fixed Speed
MT064-6,35,-10,3.282,Reciprocating,R22,Fixed Speed
MT064-6,35,-5,3.516,Reciprocating,R22,Fixed Speed
MT064-6,35,0,3.713,Reciprocating,R22,Fixed Speed
MT064-6,35,5,3.875,Reciprocating,R22,Fixed Speed
MT064-6,35,10,4.004,Reciprocating,R22,Fixed Speed
MT064-6,35,15,4.1,Reciprocating,R22,Fixed Speed
MT064-6,40,-25,2.391,Reciprocating,R22,Fixed Speed
MT064-6,40,-20,2.791,Reciprocating,R22,Fixed Speed
MT064-6,40,-15,3.15,Reciprocating,R22,Fixed Speed
MT064-6,40,-10,3.469,Reciprocating,R22,Fixed Speed
MT064-6,40,-5,3.751,Reciprocating,R22,Fixed Speed
MT064-6,40,0,3.995,Reciprocating,R22,Fixed Speed
MT064-6,40,5,4.204,Reciprocating,R22,Fixed Speed
MT064-6,40,10,4.377,Reciprocating,R22,Fixed Speed
MT064-6,40,15,4.517,Reciprocating,R22,Fixed Speed
MT064-6,45,-25,2.397,Reciprocating,R22,Fixed Speed
MT064-6,45,-20,2.852,Reciprocating,R22,Fixed Speed
MT064-6,45,-15,3.267,Reciprocating,R22,Fixed Speed
MT064-6,45,-10,3.641,Reciprocating,R22,Fixed Speed
MT064-6,45,-5,3.976,Reciprocating,R22,Fixed Speed
MT064-6,45,0,4.272,Reciprocating,R22,Fixed Speed
MT064-6,45,5,4.532,Reciprocating,R22,Fixed Speed
MT064-6,45,10,4.755,Reciprocating,R22,Fixed Speed
MT064-6,45,15,4.944,Reciprocating,R22,Fixed Speed
MT064-6,50,-20,2.882,Reciprocating,R22,Fixed Speed
MT064-6,50,-15,3.357,Reciprocating,R22,Fixed Speed
MT064-6,50,-10,3.79,Reciprocating,R22,Fixed Speed
MT064-6,50,-5,4.183,Reciprocating,R22,Fixed Speed
MT064-6,50,0,4.537,Reciprocating,R22,Fixed Speed
MT064-6,50,5,4.852,Reciprocating,R22,Fixed Speed
MT064-6,50,10,5.131,Reciprocating,R22,Fixed Speed
MT064-6,50,15,5.374,Reciprocating,R22,Fixed Speed
MT064-6,55,-15,3.412,Reciprocating,R22,Fixed Speed
MT064-6,55,-10,3.91,Reciprocating,R22,Fixed Speed
MT064-6,55,-5,4.366,Reciprocating,R22,Fixed Speed
MT064-6,55,0,4.732,Reciprocating,R22,Fixed Speed
MT064-6,55,5,5.158,Reciprocating,R22,Fixed Speed
MT064-6,55,10,5.497,Reciprocating,R22,Fixed Speed
MT064-6,55,15,5.799,Reciprocating,R22,Fixed Speed
MT064-6,60,-10,3.993,Reciprocating,R22,Fixed Speed
MT064-6,60,-5,4.517,Reciprocating,R22,Fixed Speed
MT064-6,60,0,5,Reciprocating,R22,Fixed Speed
MT064-6,60,5,5.443,Reciprocating,R22,Fixed Speed
MT064-6,60,10,5.846,Reciprocating,R22,Fixed Speed
MT064-6,60,15,6.212,Reciprocating,R22,Fixed Speed
MT064-6,65,-5,4.63,Reciprocating,R22,Fixed Speed
MT064-6,65,0,5.185,Reciprocating,R22,Fixed Speed
MT064-6,65,5,5.699,Reciprocating,R22,Fixed Speed
MT064-6,65,10,6.172,Reciprocating,R22,Fixed Speed
MT064-6,65,15,6.606,Reciprocating,R22,Fixed Speed
MTZ056-6,30,-30,3.344,Reciprocating,R404A,Fixed Speed
MTZ056-6,30,-25,4.564,Reciprocating,R404A,Fixed Speed
MTZ056-6,30,-20,6.06,Reciprocating,R404A,Fixed Speed
MTZ056-6,30,-15,7.862,Reciprocating,R404A,Fixed Speed
MTZ056-6,30,-10,10.01,Reciprocating,R404A,Fixed Speed
MTZ056-6,30,-5,12.53,Reciprocating,R404A,Fixed Speed
MTZ056-6,35,-30,2.776,Reciprocating,R404A,Fixed Speed
MTZ056-6,35,-25,3.955,Reciprocating,R404A,Fixed Speed
MTZ056-6,35,-20,5.377,Reciprocating,R404A,Fixed Speed
MTZ056-6,35,-15,7.073,Reciprocating,R404A,Fixed Speed
MTZ056-6,35,-10,9.075,Reciprocating,R404A,Fixed Speed
MTZ056-6,35,-5,11.42,Reciprocating,R404A,Fixed Speed
MTZ056-6,40,-30,2.27,Reciprocating,R404A,Fixed Speed
MTZ056-6,40,-25,3.388,Reciprocating,R404A,Fixed Speed
MTZ056-6,40,-20,4.718,Reciprocating,R404A,Fixed Speed
MTZ056-6,40,-15,6.29,Reciprocating,R404A,Fixed Speed
MTZ056-6,40,-10,8.132,Reciprocating,R404A,Fixed Speed
MTZ056-6,40,-5,10.28,Reciprocating,R404A,Fixed Speed
MTZ056-6,45,-30,1.834,Reciprocating,R404A,Fixed Speed
MTZ056-6,45,-25,2.873,Reciprocating,R404A,Fixed Speed
MTZ056-6,45,-20,4.092,Reciprocating,R404A,Fixed Speed
MTZ056-6,45,-15,5.521,Reciprocating,R404A,Fixed Speed
MTZ056-6,45,-10,7.718,Reciprocating,R404A,Fixed Speed
MTZ056-6,45,-5,9.117,Reciprocating,R404A,Fixed Speed
MTZ056-6,50,-30,1.475,Reciprocating,R404A,Fixed Speed
MTZ056-6,50,-25,2.415,Reciprocating,R404A,Fixed Speed
MTZ056-6,50,-20,3.506,Reciprocating,R404A,Fixed Speed
MTZ056-6,50,-15,4.774,Reciprocating,R404A,Fixed Speed
MTZ056-6,50,-10,6.245,Reciprocating,R404A,Fixed Speed
MTZ056-6,50,-5,7.943,Reciprocating,R404A,Fixed Speed
MTZ056-6,55,-25,2.023,Reciprocating,R404A,Fixed Speed
MTZ056-6,55,-20,2.966,Reciprocating,R404A,Fixed Speed
MTZ056-6,55,-15,4.055,Reciprocating,R404A,Fixed Speed
MTZ056-6,55,-10,5.314,Reciprocating,R404A,Fixed Speed
MTZ056-6,55,-5,6.764,Reciprocating,R404A,Fixed Speed
MTZ056-6,60,-25,1.702,Reciprocating,R404A,Fixed Speed
MTZ056-6,60,-20,2.477,Reciprocating,R404A,Fixed Speed
MTZ056-6,60,-15,3.368,Reciprocating,R404A,Fixed Speed
MTZ056-6,60,-10,4.397,Reciprocating,R404A,Fixed Speed
